Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Caribbean small states,CSS,"School enrollment, tertiary, female (% gross)",18.61000061,20.2976799,21.73842049,23.15102959,22.50366974,22.77317047,24.38743019,26.31110001,27.32056046,29.2787,29.04621
Cuba,CUB,"School enrollment, tertiary, female (% gross)",26.64546,29.78005,37.31493,68.02564,78.48503,107.21414,136.79951,146.83803,143.19979,118.6249,101.2237
Curacao,CUW,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Cayman Islands,CYM,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Cyprus,CYP,"School enrollment, tertiary, female (% gross)",24.92529,28.03539,32.50782,35.49476,35.33074,34.20442,36.06191,41.71082,48.46208,45.62976,47.29882
Czech Republic,CZE,"School enrollment, tertiary, female (% gross)",30.74016,36.10584,38.36927,45.83536,52.03001,55.21698,60.76435,66.22352,71.04753,74.8885,77.27
Germany,DEU,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Djibouti,DJI,"School enrollment, tertiary, female (% gross)",0.57723,0.90163,1.03383,1.40697,1.92386,2.03334,2.21827,2.28347,2.99078,3.08424,4.56802
Dominica,DMA,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Denmark,DNK,"School enrollment, tertiary, female (% gross)",68.72937,73.95755,79.11865,87.03255,93.3914,91.9308,91.95804,89.5004,88.40519,87.44201,90.58639
Dominican Republic,DOM,"School enrollment, tertiary, female (% gross)",,,41.64371,,,,,,,,
Algeria,DZA,"School enrollment, tertiary, female (% gross)",,,,19.8832,23.47705,23.81839,27.56121,,35.32708,35.42107,37.07264
East Asia & Pacific (excluding high income),EAP,"School enrollment, tertiary, female (% gross)",11.92759037,14.09101963,16.0141201,17.83901024,19.00189972,20.24121094,21.21805954,21.96183968,23.80085945,25.61206,27.32244
Early-demographic dividend,EAR,"School enrollment, tertiary, female (% gross)",12.63568974,13.32299995,13.70536041,14.05055046,14.61682987,15.59337997,16.7742691,18.43285942,19.48624039,21.0368,23.76294
East Asia & Pacific,EAS,"School enrollment, tertiary, female (% gross)",15.56700039,17.65534019,19.48306084,21.21030045,22.27673912,23.41913986,24.2889595,24.9950695,26.76582909,28.59183,30.40954
Europe & Central Asia (excluding high income),ECA,"School enrollment, tertiary, female (% gross)",45.0621109,49.17736816,52.32049942,54.07094955,56.45819855,58.51950836,59.92539978,61.01504898,61.88259888,62.74519,63.14921
Europe & Central Asia,ECS,"School enrollment, tertiary, female (% gross)",51.30039978,54.7924881,57.56800079,59.4646492,61.54214096,63.17181015,64.08531189,64.90351105,65.94595337,67.34525,68.31774
Ecuador,ECU,"School enrollment, tertiary, female (% gross)",,,,,,,,41.64447,,,
"Egypt, Arab Rep.",EGY,"School enrollment, tertiary, female (% gross)",26.21074,27.6282,25.66336,25.81621,27.46673,27.97112,26.12975,28.93243,28.87459,30.01423,25.52576
Euro area,EMU,"School enrollment, tertiary, female (% gross)",57.04296875,59.06520081,61.27655029,63.51018143,65.1545105,66.41294098,66.72203827,67.41381836,68.59139252,70.46836,72.55687
Eritrea,ERI,"School enrollment, tertiary, female (% gross)",0.64033,0.56911,,0.41074,,,,,1.31449,1.7827,
Spain,ESP,"School enrollment, tertiary, female (% gross)",64.47402,67.31442,69.92396,73.18004,74.22484,75.94973,76.3223,77.39692,79.5756,84.16237,88.74741
Estonia,EST,"School enrollment, tertiary, female (% gross)",72.73432,78.00779,81.63508,84.06849,85.79751,85.83822,85.00941,84.53268,85.19986,85.852,86.85179
Ethiopia,ETH,"School enrollment, tertiary, female (% gross)",0.62697,0.86809,1.15864,1.30307,1.36357,,,1.72216,3.28954,4.49457,4.78586
European Union,EUU,"School enrollment, tertiary, female (% gross)",56.46517181,59.43989944,62.03136063,64.32137299,66.32499695,67.90409851,68.697258,69.67944336,71.03122711,72.68777,73.79514
Fragile and conflict affected situations,FCS,"School enrollment, tertiary, female (% gross)",6.893509865,7.165649891,7.309209824,7.675109863,8.036990166,8.488280296,8.690799713,9.175450325,9.410559654,9.75992,9.89024
Finland,FIN,"School enrollment, tertiary, female (% gross)",92.8162,93.86101,95.15828,97.81166,100.4912,102.74869,103.74404,105.22387,101.06711,103.0725,105.0014
Fiji,FJI,"School enrollment, tertiary, female (% gross)",,,17.24899,17.4259,17.6047,,,,,,
France,FRA,"School enrollment, tertiary, female (% gross)",55.16105,55.49983,57.94725,59.24126,59.9969,60.26364,59.31236,58.71416,59.162,61.24571,61.97702
Faroe Islands,FRO,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Gabon,GAB,"School enrollment, tertiary, female (% gross)",6.5428,,6.12375,,,,,,,,
United Kingdom,GBR,"School enrollment, tertiary, female (% gross)",65.09379,69.84385,70.35767,68.86711,68.81046,69.25402,68.32119,65.9523,66.949,67.52451,67.49652
Georgia,GEO,"School enrollment, tertiary, female (% gross)",41.09087,44.86676,46.06329,47.69902,53.48972,46.41774,45.08074,43.52621,32.70392,37.04547,38.80938
Ghana,GHA,"School enrollment, tertiary, female (% gross)",,,,,4.17542,3.59671,4.49996,5.20761,6.69563,,8.94769
Gibraltar,GIB,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Guinea,GIN,"School enrollment, tertiary, female (% gross)",,,,0.69312,1.11096,2.2151,3.6026,4.48863,4.65416,5.24045,5.61431
"Gambia, The",GMB,"School enrollment, tertiary, female (% gross)",,,,0.43919,,,,,,1.6102,2.31587
Guinea-Bissau,GNB,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Equatorial Guinea,GNQ,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Greece,GRC,"School enrollment, tertiary, female (% gross)",62.0432,69.43346,74.2278,81.75606,90.10296,94.33304,90.49155,,,107.3408,112.5312
Grenada,GRD,"School enrollment, tertiary, female (% gross)",,,,,,,,,75.27603,,
Greenland,GRL,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Guatemala,GTM,"School enrollment, tertiary, female (% gross)",,7.79989,,,,,17.51907,,,,
Guam,GUM,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Guyana,GUY,"School enrollment, tertiary, female (% gross)",,,,14.76501,16.41243,16.91059,16.67533,13.57294,14.65204,16.33976,15.91532
High income,HIC,"School enrollment, tertiary, female (% gross)",61.42583084,66.58299255,69.24105835,71.2906723,72.64404297,74.65841675,75.55699158,76.56627655,78.41539001,81.49777,83.22572
"Hong Kong SAR, China",HKG,"School enrollment, tertiary, female (% gross)",,,31.31904,32.46948,33.63941,34.28516,41.89522,54.51723,55.19316,59.46156,63.46442
Honduras,HND,"School enrollment, tertiary, female (% gross)",,,18.91992,18.96557,,,,21.5064,,20.94901,
Heavily indebted poor countries (HIPC),HPC,"School enrollment, tertiary, female (% gross)",2.779540062,3.08265996,3.228250027,3.50673008,3.780149937,4.146870136,4.406589985,4.775730133,5.27546978,5.76395,5.9688
Croatia,HRV,"School enrollment, tertiary, female (% gross)",37.59202,40.56155,44.22685,46.0594,49.16929,50.34919,52.07164,54.80755,54.80814,62.11654,66.9862
Haiti,HTI,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Hungary,HUN,"School enrollment, tertiary, female (% gross)",44.54488,50.39575,60.55317,70.24865,77.48412,80.57725,81.20645,78.61255,75.02001,73.77801,71.79922
IBRD only,IBD,"School enrollment, tertiary, female (% gross)",16.92664909,18.75391006,20.2236805,21.4021492,22.4639492,23.7636795,25.02597046,26.5433197,27.83933067,29.56868,32.139
IDA & IBRD total,IBT,"School enrollment, tertiary, female (% gross)",14.03421021,15.43548965,16.56060028,17.49160957,18.4065609,19.47897911,20.52182007,21.74208069,22.82537079,24.17466,26.03792
IDA total,IDA,"School enrollment, tertiary, female (% gross)",4.422369957,4.590370178,4.736929893,4.956120014,5.438000202,5.762539864,6.066889763,6.430990219,7.070750237,7.6545,8.10932
IDA blend,IDB,"School enrollment, tertiary, female (% gross)",5.059510231,5.387969971,5.675620079,6.061729908,6.629290104,6.720910072,6.966289997,6.960909843,7.437349796,7.86686,8.33484
Indonesia,IDN,"School enrollment, tertiary, female (% gross)",12.31566,13.75591,14.20265,14.66367,,16.43717,17.65497,19.70265,22.3447,22.47408,24.21068
IDA only,IDX,"School enrollment, tertiary, female (% gross)",4.106019974,4.191709995,4.266039848,4.398109913,4.834119797,5.275720119,5.607619762,6.16328001,6.887179852,7.5515,7.9992
Isle of Man,IMN,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
India,IND,"School enrollment, tertiary, female (% gross)",7.84538,8.34167,8.57529,8.77626,8.85219,9.64622,10.8117,,13.28658,15.05774,20.09418
Not classified,INX,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
Ireland,IRL,"School enrollment, tertiary, female (% gross)",56.06652,59.79767,62.82529,65.53492,65.31056,65.21952,65.08482,58.68462,60.38679,65.4138,70.4554
"Iran, Islamic Rep.",IRN,"School enrollment, tertiary, female (% gross)",19.3391,19.07757,20.74811,23.20957,24.51482,27.64817,33.11745,40.42806,39.10785,44.10528,49.88759
Iraq,IRQ,"School enrollment, tertiary, female (% gross)",,8.94171,,11.86794,11.98538,,,,,,
Iceland,ISL,"School enrollment, tertiary, female (% gross)",61.1457,69.62723,80.33469,89.36911,92.49413,94.92352,93.48687,97.25903,97.54238,101.5427,102.5984
Israel,ISR,"School enrollment, tertiary, female (% gross)",61.3328,66.83955,65.61441,65.27897,67.15243,65.43967,69.49826,68.26475,71.46137,74.55251,76.01062
