Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Switzerland,CHE,"Foreign direct investment, net inflows (BoP, current US$)",9765012889,8258050580,19721053893,7102294153,2664910821,53760772986,48688296543,2990936685,47658570355,17670735603,20764483835
Channel Islands,CHI,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (BoP, current US$)",4199763049,2549923142,4026497833,6797252642,7462207180,7586190390,13474760473,18473102612,13855126065,16019683112,24149598880
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",47053000000,53073618897,57900937467,68117272181,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.80072E+11
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",272680081.7,212629136.7,165347467.5,282979933.1,348920761.5,350652855.7,443215533.1,466489597,396030774,358118909,301577298.6
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",-11658187.01,502881968.7,334137809.9,67863015.12,243504753.3,59069772.85,189330876.4,20910875.62,743285027.3,535742601.5,652411755.8
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",102221900,187598693.7,391254723.6,409032814.5,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024304
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",-135361238.2,199155451,219545648.8,88399286.1,800996241.6,1487693084,1422370639,1940120151,1184284701,1520744891,298288001.2
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",2541942612,2133698124,1720493455,3115635874,10235419011,6750618035,8885767540,10564151395,8034565810,6429772238,14646779979
Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",1145914.995,430423.4793,791465.1029,671354.6939,558643.2487,777728.3459,7681783.082,4631824.185,13784111.95,8342263.125,23088175.8
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",9010186.206,14759046.68,39216510.81,67638273.8,80513541.33,131539968,191764359.2,210903689.3,126003552.2,116200563.6,102246382.2
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",621846413.2,723172624.8,774386239.8,1083718486,1528787464,1801002598,2241492021,2436112218,1614614468,1906923793,2733268840
Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",1965089748,1923471097,2203487732,2292694847,3132557854,3749473256,3914059458,6464389874,3108814128,2838948469,2169172894
Cuba,CUB,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Curacao,CUW,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,105698324,146536312.8,55251396.65,89329608.94,70502234.64
Cayman Islands,CYM,"Foreign direct investment, net inflows (BoP, current US$)",2133108000,2802975000,2602570000,3703461000,9506484000,24820937000,28210535000,19555735000,20298045000,10568946000,16716537000
Cyprus,CYP,"Foreign direct investment, net inflows (BoP, current US$)",944742874,1103449726,908147518,1118841809,1161973511,1872392935,2295454940,2337953031,2830582843,13596805274,-11920544950
Czech Republic,CZE,"Foreign direct investment, net inflows (BoP, current US$)",5640707236,8496609036,2021275746,6423465151,13730164683,7132002408,13815656004,8815393022,5271613702,10167834375,4188736491
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",56930659865,51222015765,65348359021,-20444719446,59855759874,87441737296,50845049519,30926055579,56668665258,86053684912,97480731020
Djibouti,DJI,"Foreign direct investment, net inflows (BoP, current US$)",3392958.626,3432346.206,14224542.96,38543559.85,22203341.19,108287709.4,195351140.3,227654582.2,96859684.56,36501032.52,79000230.7
Dominica,DMA,"Foreign direct investment, net inflows (BoP, current US$)",17115925.93,20110637.04,31472140.74,26173948.15,19235559.26,25907525.93,40486774.81,56548262.96,42420685.56,24341705.19,14192972.59
Denmark,DNK,"Foreign direct investment, net inflows (BoP, current US$)",9286404806,4430703179,1184825160,-8804165491,12847031342,2385249288,11809448518,2191215666,3771059440,-11767861925,13558894634
Dominican Republic,DOM,"Foreign direct investment, net inflows (BoP, current US$)",1087900000,926000000,616530000,934480000,1118400000,1528700000,2252900000,2728400000,1695300000,1820200000,2197500000
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",1113105541,1065000000,637881239,881851385,1156000000,1841000000,1686736540,2638607034,2746930734,2300369124,2571237025
East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net inflows (BoP, current US$)",52282946339,63365976313,68360232567,83279005498,1.29263E+11,1.52396E+11,1.9352E+11,2.11705E+11,1.5605E+11,2.98441E+11,3.3685E+11
Early-demographic dividend,EAR,"Foreign direct investment, net inflows (BoP, current US$)",59921239808,51164472788,42973580828,63504590884,1.1155E+11,1.52981E+11,1.96386E+11,2.37995E+11,1.70382E+11,1.76846E+11,1.94557E+11
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (BoP, current US$)",1.27418E+11,1.12949E+11,1.26644E+11,1.98737E+11,1.87813E+11,2.85692E+11,3.96473E+11,3.85907E+11,2.87951E+11,4.9677E+11,5.60385E+11
Europe & Central Asia (excluding high income),ECA,"Foreign direct investment, net inflows (BoP, current US$)",14216733364,13974349053,24770371171,44402630058,56158755999,1.04887E+11,1.44872E+11,1.6685E+11,91557638358,88305310248,1.21269E+11
Europe & Central Asia,ECS,"Foreign direct investment, net inflows (BoP, current US$)",3.68495E+11,4.15934E+11,3.91355E+11,4.42815E+11,1.00501E+12,1.29027E+12,1.89205E+12,1.24617E+12,6.13147E+11,7.21526E+11,1.01874E+12
Ecuador,ECU,"Foreign direct investment, net inflows (BoP, current US$)",538568575.2,783261009.6,871513414,836939593.9,493413835.5,271428852.5,193872526.9,1057036020,308548890.1,165836320.4,644072358.7
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000
Euro area,EMU,"Foreign direct investment, net inflows (BoP, current US$)",2.32231E+11,2.53479E+11,2.69375E+11,2.70021E+11,6.33763E+11,8.17634E+11,1.28735E+12,6.52501E+11,3.89933E+11,5.08385E+11,7.64546E+11
Eritrea,ERI,"Foreign direct investment, net inflows (BoP, current US$)",12131626.5,22766165.86,24999786.56,24103664.84,1431553.832,15375609.76,7206504.065,39000000,91000000,91000000,39000000
Spain,ESP,"Foreign direct investment, net inflows (BoP, current US$)",28892264555,39409654769,30740341153,25176365229,26720350857,32989821047,73772822154,79557788103,13478740375,41020054117,31782139561
Estonia,EST,"Foreign direct investment, net inflows (BoP, current US$)",592889580.2,338234260.4,1037745583,1086502853,3127298002,2212181185,3429043145,1873250285,1865561410,2592803327,1118556804
Ethiopia,ETH,"Foreign direct investment, net inflows (BoP, current US$)",349400000,255000000,465000000,545100000,265111675.5,545257102.2,222000573,108537544,221459581.4,288271568.3,626509560.4
European Union,EUU,"Foreign direct investment, net inflows (BoP, current US$)",3.34157E+11,3.85285E+11,3.29895E+11,4.00769E+11,9.65714E+11,1.11517E+12,1.69285E+12,1.07714E+12,4.45275E+11,5.78086E+11,8.51168E+11
Fragile and conflict affected situations,FCS,"Foreign direct investment, net inflows (BoP, current US$)",3747025969,4683032875,8261248310,6865550754,8593603036,12683252772,19237418434,23038170825,18607122433,22580940299,19955560654
Finland,FIN,"Foreign direct investment, net inflows (BoP, current US$)",3222225509,8080985212,5963557456,6771281519,10875828408,4631613504,21985066155,19403176598,-8826514767,12226437616,-6008160154
Fiji,FJI,"Foreign direct investment, net inflows (BoP, current US$)",41301661.85,30674592.44,40313853.13,250618684.7,172959107.9,583997565.2,464266698.1,679357180.6,308787797.8,178107455.3,216793005.9
France,FRA,"Foreign direct investment, net inflows (BoP, current US$)",50126614944,51493238175,42324928758,35581202492,85179159787,78945704920,83780962091,67999194663,18380195793,38899924638,44191741840
Faroe Islands,FRO,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Gabon,GAB,"Foreign direct investment, net inflows (BoP, current US$)",-100615451,1160708.31,99666154.02,313970792,326161877.9,267805000,654808577.2,693511289,635674956.8,523939106.2,1123536919
United Kingdom,GBR,"Foreign direct investment, net inflows (BoP, current US$)",56090924809,89760582753,36011240473,87059621382,2.52653E+11,2.03636E+11,2.09515E+11,2.53454E+11,14547108445,66734551294,27012050072
Georgia,GEO,"Foreign direct investment, net inflows (BoP, current US$)",109871635.5,160398660.5,334891041.6,492732940,453107292,1171394522,1880018941,1596712488,658217023.1,900378254.4,1166064355
Ghana,GHA,"Foreign direct investment, net inflows (BoP, current US$)",89320000,58930000,136751000,139270000,144970000,636010000,1383177930,2714916344,2372540000,2527350000,3247588000
Gibraltar,GIB,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Guinea,GIN,"Foreign direct investment, net inflows (BoP, current US$)",1677000,0,78966000,0,105000000,125000000,385900000,381880000,91030000,101350000,956060000
"Gambia, The",GMB,"Foreign direct investment, net inflows (BoP, current US$)",35480000,42826666.67,18272720.34,55526319.44,53650280.02,82208102.59,78094820.96,70792382.32,39447343.71,37140887.81,36077136.08
Guinea-Bissau,GNB,"Foreign direct investment, net inflows (BoP, current US$)",395613.5963,3561035.879,4005503.687,1915633.352,8692468.09,17887123.56,18770117.49,6630074.028,18890200,26240200,25024047.39
Equatorial Guinea,GNQ,"Foreign direct investment, net inflows (BoP, current US$)",940741215.7,323391507.5,689779766,340914468.5,769146185.2,469506014.6,1242731087,-793872332.8,1636219625,2734000000,1975000000
Greece,GRC,"Foreign direct investment, net inflows (BoP, current US$)",2001266.562,34180546.54,1408086699,2147927927,688484256.6,5411403362,1957124444,5733447473,2766296835,532926980.5,1092191388
Grenada,GRD,"Foreign direct investment, net inflows (BoP, current US$)",58748148.15,54488888.89,89166666.67,65014333.33,70157129.63,89787148.15,156554796.7,134832583.3,102556363,60420861.11,42648183.7
Greenland,GRL,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Guatemala,GTM,"Foreign direct investment, net inflows (BoP, current US$)",-936494410.4,-1016996774,19488617.6,321400000,540000000,635300000,859200000,751109109.8,696452714.3,845598200,1139659133
Guam,GUM,"Foreign direct investment, net inflows (BoP, current US$)",,,,,,,,,,,
Guyana,GUY,"Foreign direct investment, net inflows (BoP, current US$)",56000000,43600000,26100000,30000000,76800000,102400000,152400000,178000000,164000000,198000000,246800000
High income,HIC,"Foreign direct investment, net inflows (BoP, current US$)",6.44961E+11,5.99956E+11,5.7726E+11,7.93842E+11,1.24399E+12,1.81168E+12,2.59541E+12,1.84306E+12,9.71427E+11,1.27272E+12,1.57717E+12
"Hong Kong SAR, China",HKG,"Foreign direct investment, net inflows (BoP, current US$)",31291719645,6747855221,18567357065,22194238605,40963127271,44901793969,62121011424,67035187588,54275707074,82709142976,96135081265
Honduras,HND,"Foreign direct investment, net inflows (BoP, current US$)",309826700,287314900,390166272.9,592320092.9,601059572.2,717591908.2,966926354.3,1200798087,494497450.5,607376418.1,1042571021
Heavily indebted poor countries (HIPC),HPC,"Foreign direct investment, net inflows (BoP, current US$)",4674257275,5861512037,6836152449,7082357643,8120909221,10331562498,14869227950,19414474629,15630133484,23819010224,28509507817
Croatia,HRV,"Foreign direct investment, net inflows (BoP, current US$)",984168063,953751427.3,1826223975,1293085522,1794317620,3299038092,4567377359,5187844809,3198815037,1424108328,1417600259
Haiti,HTI,"Foreign direct investment, net inflows (BoP, current US$)",4400000,5700000,13800000,5900000,26000000,160600000,74500000,29800000,55470000,178000000,119000000
Hungary,HUN,"Foreign direct investment, net inflows (BoP, current US$)",4058819561,3643428380,4157510420,4538099567,8505362817,18678720025,70631297039,75013000490,-2967152013,-20933508134,10506179880
IBRD only,IBD,"Foreign direct investment, net inflows (BoP, current US$)",1.64667E+11,1.54277E+11,1.64514E+11,2.28511E+11,3.06657E+11,4.05985E+11,5.5847E+11,6.29967E+11,4.26108E+11,6.14209E+11,7.32251E+11
IDA & IBRD total,IBT,"Foreign direct investment, net inflows (BoP, current US$)",1.71542E+11,1.63351E+11,1.75435E+11,2.41489E+11,3.2536E+11,4.31519E+11,5.94877E+11,6.74613E+11,4.62638E+11,6.57199E+11,7.8607E+11
IDA total,IDA,"Foreign direct investment, net inflows (BoP, current US$)",6874895199,9073887902,10921076264,12977722518,18702822764,25533931573,36407102348,44645173539,36530613812,42989990636,53818949281
IDA blend,IDB,"Foreign direct investment, net inflows (BoP, current US$)",1929148860,3908008235,3942176283,4205132070,9415879390,12637266204,16997271585,19435526071,16068526364,14676000561,19763972761
